Code,Description
25047604,ACM Trucking And Projects
25335039,Siaga Holding
25365445,Nandu Training And Logistics
25355666,Sage Traders
25101326,Clearway Clearing And Forwarding
25297949,J EN J Markram Transport
25364621,Liberty Trucking And Logistics
25293277,Starbees Holdings
21854659,To Matter Group
21960392,SC Madavha
25334407,Hybrid Transport And Trading
21605744,Fuzilogix
25316451,Divine Greater Heights 57
25360049,Coldsure Distribution Services
25344738,Mr Tee Logistics
22014143,Kairos Freight Forwarding
25364559,Anton Le Roux Vervoer Edms Bpk
22039159,Phokeng Burial Services
20108556,Natrans Natal Transport
20880794,Shabbir Motors 
25238999,Kimberley Express And Distributors
00458831,Viking Shipping
21759940,Rosehip Farm
21955616,A Class Intermodal Cargo
25266647,Greanleaf Distributor
25243452,Latte International Holding
25363048,Global Logistics Agencies South Africa
21684094,T N 2K
21744073,Maluti Timber
21101953,Arf Logistics
25347664,Sitt Logistics
25373808,Da De Swardt
25373794,WT Transport
25373778,M Nel
25374359,Enterprise Premium Solutions
25371457,Slindo Import And Export
21051936,Simply Africa Trading
25266930,Skytree Import And Export
01190415,Masstores
25206818,Versatile Pioneers
21003421,IMJ Rego
21571755,THB Trading And Projects
21659068,Evilox 366
21855684,Ikusasa Rail Africa
25103353,Kilwa Trading
25368147,Dakhantsa Logistics
25348067,Theranody Investments
25310178,Grandstone Logistics
25345661,Travel Clearing Agent
25346978,DDJ Group
01862282,Africa Global Logistics South Africa
25282330,Shipping Masters Group
25381680,J Makena
25378893,Trans Cunene Logistics
25376777,Dolphin Coast Freight Services
25378818,Mitazel Transport
21717702,Willows Of Africa Trading
25383802,CH Slabbert
25347931,AKS Roadway
25298430,Mass Global Business Solutions
25338143,SS Freight Solutions
25378990,Seax Logistics
00685566,Shacman Africa
20207456,Quality Bedding Pty Ltd
21809550,Quality Customs Services
21813149,Coin De Mire Logistics
25385074,J Van Greunen
25394242,F D Vermeulen Transport
25392797,Zimzam Transport Limited
25096244,Waterfall Logistics and Distribution
25391928,Sanibonani Company Limited
25393225,U-Link Freight Pty Ltd
25364465,Bosscorn Logistics
25300505,Micfam Investments
25391782,Zimzam Farming Limited
25234217,Inventta Limited (Incorporated in Hong Kong)
22017955,Kyalami Industries
25395028,Milalekwa (Pty) Ltd
25318799,WIBM Haulage
25257673,O M G ENTERPRISE
25397152,MF Niebuhr Farming
25057951,Sivikile Dynamic CC
22011086,Bangsi (Pty) Ltd
21818192,Xenotha Trading (Pty) Ltd
25396008,Excel Machine Moving
25399139,Autos Trucking
25399090,Autos Truck And Bus Fleet Maintenance
25262897,House Of Creations Business Enterprise
25058806,SLR Freight Services
25380951,Biyela Legacy Group
20083662,Universal Cargo And Container Carriers Cc
25371708,Tunnage
25069916,Rea Pele Innovations
21669505,MUD Studio (PTY) LTD
25122479,BSI TRADING (PTY) LTD
21762207,MCF LOGISTICS PTY LTD
21738473,JJ Fourie
25235377,Mbobo Construction and Supplies
21988120,Henque 2322 (Pty) Ltd
2195940,DAC Group
25389614,Ort Crisp and Cool
22010241,Indo Logistics (PTY) LTD
21850823,Tahliil Trading And Projects (PTY) LTD
25394870,Alpha Link Logistics
25372763,Khantshi Group
25302087,The Mobility Group
25347818,SA Carrier and Logistics
21844123,Eagle Eye Import and Export Specialist (PTY) LTD
25257076,Kobicks Freight
25334474,Zwide Freight Group (Pty) Ltd
01526920,Trademore (Pty) Ltd
25405268,Firstclassmart (Pty) Ltd
25307232,Mashankane Holdings
25399015,Gloria Hobbs Holdings and Projects
25402064,Mas Sam Holding
25060658,American Miracle Auto Electrical
25373476,Jubilee Trucking
25405837,Yellow Range Logistics
25406671,Freshulux Express
25157378,Four Trans Investments
25395532,Trimer Investments
25400240,Eximus Clearing Agents
25114885,Sheabisha Import and Export
25367183,Africo Logistics
25398403,Newma Trading Enterprises
25411607,RSG Shipping
21545773,Newzin Hauliers CC
21275601,Freightx Pty Ltd
21976549,SMP Integrated
25408712,Teemane Heavy Haulage
25376920,Mad Auto Solutions
25412972,AHG Nel Vervoer
21559986,Noaves
2140645,Sulawest Logistics
21831553,Auto Mall Trading
25410198,Torque Transport
25410740,Primtrack Trading
25071162,Lureshan
25401327,KN Trucking
21970915,Walcon Investments
25399783,Lebone Global Logistics
25397950,Africa360 Logistics
21888100,Sortetex
25352087,Transship
21312821,SG Zulu
25401548,Tyco Carriers
25149031,Ocean Tides of Africa Trading
25419578, Sibane Clearing Agent
25419918,Giran Bulk
25412905,Carwal Enterprise
21058310,African Forwarding and Shipping
25420982,Komdee Logistics CC
25391065,Jerry Transport and Logistics
25401610,Ntozimandla Minerals and Energy
21705429,M Afzaal Trading
25415424,Chak Mahi Trading
25420885,Kusasa Commodities 260
25415939,Kwanelo Solutions
25418016,Sirkel Motors and Transport
25411283,Nhlakanipho Holdings
25291940,Landou Holdings
21555050,Malemane Enterprises
25401270,Skar Freight
25416943,DS Transport and Projects
21581555,Shilo Truck and Trailer Repairs
25423124,Great 2 Logistics
01240289,Tabak Distribution Cape Town
25414703,HTC Trucking
25429424,Sparrow Freight
1000145180,Tabak Distribution Cape Town
25432335,Patrao Logistics
25418814,Zintokazi Holdings
25429327,Kgalagadi Holdings
01582159,Brands 4 Africa Holding
25431215,Samedjeu Corporation
25430847,Silver Saints Exporters
21506917,Best Tobacco Company
21010773,Coega Steels
25426286,Shadreck And Tarcisio Logistics
25414541,Triton Bell Clearing And Forwarding
25142886,Playfair Cartage
25434052,Switch Applications
25245838,Opicorp
25389487,Transnetwork African Freight
25100273,Explo Afrique
25314297,Troltron Motors Private Limited
21994912,B Busy Trading
21721571,Sterling Freight
21701327,Fort Kelly Boerdery
25304179,IAP Trans Border Services
25399740,Limgos Logistics
25415564,Desmond Trans Clearing
25343607,Reddy Ship
25433102,Matala Cargo Express
01886066,Ace Fire Suppression Technologies
25267376,Tondi International
25442127,Quality Air Freight Services CC
00469697,A. Hartrodt South Africa (Pty) Ltd
21996246,Cabcorp
25443271,LP Vorster
25443286,ATB Logistics
25313258,Angelus M
25334563,Conqueror879
25110294,Riviera Equipment Holdings
25428940,Mupapas Group
21883427,Anzie Truck Hire
25437795,Fenice Forwarding Company
25428592,Matna 101
25437116,Fortune Minerals and Projects
25136461,High Care Cargo
25451028,Impressive Thatching and Builder
20589605,Enterlinks Trading CC
25183376,2020 Logistics and Services
25444146,Roadlink Freight
21985962,MLP Holdings
25446815,Mediv Holdings
21244911,Cross Border Link (Pty) Ltd
21992909,Mass Construction and Projects
25450803,Gundo Freight
20092393,Zen Freight CC
22012694,Maxliner Investments
25415548,Nkunzi Global Trading
25316524,Olympus Enterprises
25421253,Reddy Group International
21139818,J Terblanche BK
25392606,Debtors Of Love Investments
25376645,Grindrod Logistics
22026392,GIC Logistics
21021088,Surebraai Products CC
25445584,Contione Trading
25328227,Afrique Infinity
25457573,Tigralinx
25398396,Bonus Trading
25458913,Wealthy JT Brothers
20531487,Southern Rise Trading
25460824,Thaira Logisitics
25458960,SSSJ Trading Projects
25324852,Sitcos Logistics
25452865,NRJ Distribution Sarl
25456224,Consecutive Trading CC
25460298,Union GSA
25378486,Apex Clearing
21544238,Spring Green Trading 285 CC
25169413,Sherwin's Transport CC
20230994,S C A Trucking CC
25068243,Rush Hour Logistics
25462746,Everlasting Groups
21990019,Trans Modal Group
21944933,Nestup Investments
21020510,JF Junior Trucking CC
25423787,5 Motion Logistics
25462878,CMH Logistics
25464013,Raylio Agencies
25443786,Icyspeed Logistics
25463025,Straight Freight Logistics
25449695,Red Group Holdings
25436888,Munetsh General Trading
25461731,Sengwa Investments (Pvt) Ltd T/A Tombs Trucking
21994766,Freight Well Logistics
21969721,DH Holdstock Logistics
25371139,Nyati South Africa
25425186,Gundo Bulk Logistics
21068560,Skylark Carriers CC
25269034,Packtrans P/L
25238891,Nsindiso Investments
25461480,Afroeuro Services Group
25402188,Bluespace Holdings
25430243,World Trans Haulage
25468159,Avance Logistics
25213246,Asure Carbon
25469937,Scorsana Logistics
25469465,River Realities Proprietary Limited
25468922,Dewro Transport CC
25437507,Melviswa GLVJ Groug
25438791,Amk 007 Clearing
25432718,Exxelo South Africa
25163695,Bond IT Warehouse
25036859,Chikzin Imex
21700797,E.P Logistics CC
20955346,Brand It Marketing
25471280,STBM Easi Investment
25413758,Reef Shipping and Logistics
25475014,Bokwest Trucking
25360324,Blue Santoriana Investments (Private) Limited
25475871,Mhisi Trading and Projects
25469971,Kenman Trading
25411275,Swad Enterprises
25453896,Pluso
25427995,Belch Transport
25480181,Koshing Group
25478749,LSP Logistics
21911701,Headland Logistics Limited  
21965068,Jumaras Limited
21917289,Advance Transport Ltd 
21979009,Vectura Logistics Limited
21910179,Copperzone Logistics Limited  
21964991,Cancam Carriers Limited
01595411,Mix Telematics International 
21609057,Zanospan (Pty) Ltd        
21983641,KDD Transport And Trading 
72008182,R C Kona Enterprises 
21584155,Emmanuel Freight Services 
21949714,Global Plus Investment 
21985695,Ovwn Crushers And Projects 
21983174,Isover Import And Export
21982823,Ubambano Clearing Agent Primary Co-Operative Limited 
21948076,Global Marine Solutions 
21685244,Casslink Freight Import And Export
21997153,Anax Logistics 
22000964,Jayd Events 
20882525,Ringdrive Logistics 
21946073,Transmed Xborder
21988341,DFS Group 
219882726,Marbisol International Freight 
21980103,Courier Brothers And Logistics 
FH001205,Ndaguwa Trading Limited
22001537,Jabula Import And Export 
22002967,Cingani Elliot Logistics 
21978460,Riana Visser Exports 
22004080,Joshbria Investments Private Limited
20299719,International Machine Movers CC
22004218,Nenima Trading Limited     
21985008,Roadchain Logistics 
21907160,Greendoor Group 
22011264,Emthini Kausars Enterprise (Pty) Ltd  
21811198,Unitrans Lesotho (Pty) Ltd
21605981,Esmail Carriers
22002509,Siyamthanda And Fezile 
22009341,Endear Africa 
21932952,All Cargo Shipping SA
21297034,Bras Trucking 
21988317,Emek Beracah Projects And Trading 
22011221,M C M Clearing 
22006016,Simmert Trading 102 
22005974, Stokvest
21818018,Britz Transport Grootvlei 
00597950,DGB (Pty) Ltd
22002800,4 Lungz Trading And Projects
21750765,Southgate Investments Limited
22015308,Siphimo Group Services 
22016975,Nae Clearing And Forwarding 
22007497,Bros Removals And Packing Services 
22003842,Golden And Sons Transportations And Logistics Services 
21997342,Tradershipper Africa 
21792189,Ubuntu Pro Solutions 
21917092,Apex Travels 
21996327,Melicoin Trading Enterprise 
22002363,Tiger Transport And Logistics 
21992283,Thanbright Logistics 
21582284,Equilibrium Logistics 
21122088,Brenols Express 
21758324,Jacobs Transport SA
21927410,LBS Clearing
21994839,shanya holdings
22010424,Simza323investments 
22010733,Tatenda And Shepard Logistics 
22026627,Botanican Holdings
21912740,Baloor Logistics
20879584,Namaqua Wines SA (Pty) Ltd
21163171,V. E Transport (Pty) Ltd
22028840,MSD Investments (Pty) Ltd
21829614,Copper Distributors
22020661,Lihlokohloko Projects
22014395,Pamngol (Pty) Ltd
22031778,Believe In One Pty Ltd
22022745,Xihari Xa Nhova Group
21985601,Busy Container
21693181,Longrun Logistics
21950339,Mebs Global Logistix South Africa
21995908,In 2 Africa Clearing And Forwarding
22022389,Siya Forwarding And Clearing
22007901,Clearing Giant
21984942,Ndikatli
22022419,Bongs General Services
21953156,Rolo Transport And Logistics Solutions
20306712,P And L Machine Moving And Rigging
22031298,GDR Clearing Agent
25011858,Boiteko Clearing And Trading
22024969,Hartman Import And Export Clearing Agent
22015839,First Africa Logistic
21507662,Billericay (Pty) Ltd
22025205,African Perishable Logistics
25020805,T And M Clearing Forwarding
21946863,Oturu
25026030,Hope Tradings And Services
21960848,K A Anold Logistics
20907591,Scribante Concrete
25018119,Dias Cross Border Clearing Agent
25046950,Transgrowth
21964185,Notios Holdings
25040812,Fast Freight ZM
25027850,Jecas Louwra Investment
25039238,Bit 10gic
25040340,Log Loaders
25023200,Sammbikani SA
01364732,Charter International Freight T/A Pioneer Freight
20596915,Sicom Trading Supplies
21547277,Linpet General Trading
25044222,Skydove Trading 133
25035429,Giganet 365
21350361,Origin Aluminium (Bloemfontein)
21467054,DE Wet Human Transport
25064736,Iqbal Auto Logistics
21972411,BHH Transport
21974015,Redwood Clearing And Forwarding Services
25059091,Freshlygood
25067506,Innovative Freight Solutions
25022484,Steyn V A T/A Clydecor Projects
22025612,BM Customs Clearing Agency
21926759,Gryphon Clearing And Consulting Services
21989127,Shamwari Transport
25079139,CLS Clark Logistics Solutions
25037588,NW Clearance Agency
25058141,Wakhisa Consulting
25030753,Rangel Logistics South Africa
25075001,New Dawn Clearing
21402411,One Take Trading
25064922,Dinotic
22008000,Enloade Customs And Handling Services
21543088,Thandanani Import And Export Services
FH000790,Boshoff Transport
21938195,J4l Courier Services
21942205,Unitrans Africa Pty Ltd
20196188,Diesel Autoparts
25060358,Aha Clothing Trading
22005125,Red Bot Logistics
22038004,Taffy Freight And Services
21924632,Bid Ship
25099464,Simmi Trans
21914166,Buang Trading 5
01090322,YKK Southern Africa Incorporated In Swaziland
21877959,The Original Venter Forklift Services
01718470,Shipping Services Unltd
21039016,Massmart Retail
21499763,Sky Logistics
21534497,Temple Logistics And Freight
25071383,Jann International Logistics
25108754,LA Vie Guest Suites T/A Millenium Fire
21931670,Emantimandze Investments
20806329,Rand Agri
21875454,Express Loads
21348740,A and B Visser Transport 
25082104,Equitrail Global
25023251,Prime Poles
20193326,United Nathan's Trading (Pty) Ltd
25093083,Risk Right Freight Solutions
25111231,Sestra Freight International
25126424,Mg Plant Hire (Pty) Ltd
21076635,Pangea Logistics
22026929,Poly Nkosi Investment
25105925,Swift Drift (Pty) Ltd
25031261,Nalibex (Pty) Ltd
25016604,Shosholoza Carriers
25096708,Umzansi Africa Abathuti Pty Ltd
21529328,Daatax Consultancy
21743913,Golden Stack Import And Export
21815924,Jarita Distribution
22020025,Swift Overborder Freight Services
01093488,OZ Africa Venture
25107626,Koinonia Consultancy
25127966,Ka Matsapa (Pty) Ltd
22031964,Road Freight Clearing Agent
25062873,Emlink
21627886,Pinnacle Shipping Solutions
25155746,M Nel
25058168,Tamaroy
25144641,Akape Clearing And Forwarding
25020813,Bradford Palm
25148671,ZAR Carriers Pty Ltd
20725132,Complete Cleaning and Pest Control Solutions
25157416,R M John Trading Pty Ltd
21791468,Panbern Glass
25121457,Blaque Cherry Logistics T/A Phoenix Logistics
25090084,Lamamora
21992879,VNP Logistics
25120760,APT Logistics
21639581,Ouropack Ditribution
25140123,Danpat Enterprises
25099235,Juba Transport SA
25176850,Bon Voyage Air Freight And Cargo Logistics (Pty) Ltd
25160238,Hlawuni Holdings
25150918,LLMG Enterprise
25172138,Agrinent Holdings
25163555,Wethupo Investments
25174947,Sheleza Projects
22039221,International Customs and Clearing Specialist
25119976,Professional Logistics International SA
25008998,Pinnacle Freight Services
21914646,Harrington Mokemane
21681389,Classique Logistics and Projects
25092540,Coscor
21702560,Zelsun Clearing
22018250,CTI Logistics
25134687,Lihlabeng Trucks Clearing Agent
21797261,Buks Haulage
21811392,Unitrans Botswana (Pty) Ltd
21873554,Unitrans Mozambique Limitada
21809828,Southern Star Logistics (Pty) Ltd
25200951,JLOG International
25062393,Broxer Enterprises
25186839,First National Blessings Forwarding Agency
21173818,Pharma Beyond
25153968,Golden Wing Global
25200048,Newton Technologies
25133136,NL Clearing Services
21496892,Kgandr Agencies
25064361,Blouburg Trading
25212355,Padrino Enterprises
22019354,Universal Customs Clearing And Forwarding
25213505,Unitrans Namibia (Pty) Ltd
21613703,AV Global
25071391,XV Clearing Agent
25209045,Kenny Custom Clearing Agent
25051872,Transparent Import And Export
25171484,Moremole Legacy
21985806,Jose Wholesalers
21685678,Al Zwie Holdings
25215168,The Witty
25202482,Dawn Shipping And Logistics
25182590,Corevest Group
25185751,Intuclear
25185808,EW Walle CC T/A East End Construction
20819723,Mainline Energy
21441618,Enasni Express
21340529,Swallow Transport Trust
25112742,Nano Logistics Services
21433179,Daco Trading and Freight Services
25180881,Delreg
25159397,Siyaphemba General Trading
25191688,Proauto Importer
25225747,Geber El Holdings
25235833,Buffelshoek Transport SA
25222996,Afnet Air
01672980,Ngwane Mills SA
25238425,CTAA Logistics
21908000,Tinyosi Enterprises Southern Africa
22001790,Maeteletsa Holdings
22029561,Sandile Logistics Services
25218043,Vuvimelo Investments
25140328,Cake Designs
25136712,Ubuhle Transport and Logistics
21662416,Chiefs Mango Achaar
21710457,Blue Core Logistics SA
25191637,Adevilia
22011272,DRK Logistics
25243835,Tshibalo Bricks And Aggregates
25175501,Majacket Export agency and Services
25240518,Makarapa Business Enterprise
25209975,Reo Clearing
25238484,SEBS Logistics
21901030,Big Gloria Trading
25238662,Space Quipped Investments
25225286,Dyno Holdings
25226991,Nimble Resources Limited
21421694,FedEx Express South Africa
25241573,Lelomo Export and Import Agency
25177393,Nkwinqz Consultants
25195632,Vohlabu Trading
20503818,Vincemus Investment
21511553,Regnum Enterprises
20514102,Barloworld Logistics Africa
25243061,Omothaphi Import And Export
21994553,Victory International
25253732,Voltron Logistics
25242235,Aurora Inter-Trade
BGBS,Berge Bulk Singapore Pte. Ltd.
25058788,MT Legacy Logistics
25229397,Action Fast
25239359,HF Clearing (Pty) Ltd
25107316,Jordans Freight And Logistics
25257416,Sunset Oil Services And Logistics
25103710,CST Abnormals
25237488,Rafuma Services
25190444,Polytra SACL (Pty) Ltd
25216385,Monarch Douglas
21837314,Channel Shipping
25151857,Boabab Exporters
25260029,Qedu And Siya
21489862,888 Inter Group
25233008,Greenleaf Freight Logistics
25248780,Lionhaul Thorne
25134914,Niraida Logistics
25262517,Hasfred Logistics
25015934,Sibanda Logistics
22038420,Ilenjane Holdings
25163675,Bond IT Warehouse
25070288,KYH Express
21239994,Shipping And Sourcing CC
20760988,Sinadad Logistics CC
25063411,Magwera Import and export
25261122,Akinbabs Trading
25104015,Above And Beyond Logistics
25140629,Solo Transport Solutions
25264288,Precise Prime Planning Services
25151531,Mashibini Lagacy Trans (Pty) Ltd
20492533,Hapag-Lloyd Africa
25229788,Africa Customs Clearing
25197880,Bright Hope Clearing
25273561,Trust_Ed Consultants
25144838,M E S Diallo Logistics
25272115,Michaels Freight (Pty) Ltd
25262293,Bokwest Investments
25241980,Orliflex
25242758,Converse Clearing And Forwarding
25084935,Swiss Global Logistics
21944518,C F Machaca
25272626,Mascon Clearing And Forwarding
25235256,Top 4 clearing agency
25160254,Stokvest Impex Logistics
25248950,Christland Shipping Logistics
25242375,D F S Global
25282039,VTN Investments
25262795,Moondawn Logistics
25110758,Cross Trade Shipping
20923927,Real Africa Trading
22039965,Samkelokuhle Clearing Agent
25226630,OR Clearing Services
21190664,Mqondisi Electrical
00101566,Schenker South Africa
25237461,Tooblessed Enterprise
21614050,Heymans Kole
21993379,Ayentrade Agencies
25282918,Devoted Cargo
21996629,Zali Logistics
20385508,Afrika National Granite
25285165,Asherlisherlee
01853284,Goreefers Logistics
21515559,Ojuawo Import And Export
20546777,LCL Logistics Southern Africa
